NAICS1997	NAICSTitle1997	NAICS2002	NAICSTitle2002	PARTS
422510	Grain and Field Bean Wholesalers	425120	Wholesale Trade Agents and Brokers (pt)	Agents and Brokers
422520	Livestock Wholesalers	424520	Livestock Merchant Wholesalers	Merchant Wholesalers
422520	Livestock Wholesalers	425110	Business to Business Electronic Markets (pt)	Business to Business Electronic Markets
422520	Livestock Wholesalers	425120	Wholesale Trade Agents and Brokers (pt)	Agents and Brokers
422590	Other Farm Product Raw Material Wholesalers	424590	Other Farm Product Raw Material Merchant Wholesalers	Merchant Wholesalers
422590	Other Farm Product Raw Material Wholesalers	425110	Business to Business Electronic Markets (pt)	Business to Business Electronic Markets
422590	Other Farm Product Raw Material Wholesalers	425120	Wholesale Trade Agents and Brokers (pt)	Agents and Brokers
422610	Plastics Materials and Basic Forms and Shapes Wholesalers	424610	Plastics Materials and Basic Forms and Shapes Merchant Wholesalers	Merchant Wholesalers
422610	Plastics Materials and Basic Forms and Shapes Wholesalers	425110	Business to Business Electronic Markets (pt)	Business to Business Electronic Markets
422610	Plastics Materials and Basic Forms and Shapes Wholesalers	425120	Wholesale Trade Agents and Brokers (pt)	Agents and Brokers
422690	Other Chemical and Allied Products Wholesalers	424690	Other Chemical and Allied Products Merchant Wholesalers	Merchant Wholesalers
422690	Other Chemical and Allied Products Wholesalers	425110	Business to Business Electronic Markets (pt)	Business to Business Electronic Markets
422690	Other Chemical and Allied Products Wholesalers	425120	Wholesale Trade Agents and Brokers (pt)	Agents and Brokers
422710	Petroleum Bulk Stations and Terminals	424710	Petroleum Bulk Stations and Terminals	Merchant Wholesalers
422720	Petroleum and Petroleum Products Wholesalers (except Bulk Stations and Terminals)	424720	Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)	Merchant Wholesalers
422720	Petroleum and Petroleum Products Wholesalers (except Bulk Stations and Terminals)	425110	Business to Business Electronic Markets (pt)	Business to Business Electronic Markets
422720	Petroleum and Petroleum Products Wholesalers (except Bulk Stations and Terminals)	425120	Wholesale Trade Agents and Brokers (pt)	Agents and Brokers
422810	Beer and Ale Wholesalers	424810	Beer and Ale Merchant Wholesalers	Merchant Wholesalers
422810	Beer and Ale Wholesalers	425110	Business to Business Electronic Markets (pt)	Business to Business Electronic Markets
422810	Beer and Ale Wholesalers	425120	Wholesale Trade Agents and Brokers (pt)	Agents and Brokers
422820	Wine and Distilled Alcoholic Beverage Wholesalers	424820	Wine and Distilled Alcoholic Beverage Merchant Wholesalers	Merchant Wholesalers
422820	Wine and Distilled Alcoholic Beverage Wholesalers	425110	Business to Business Electronic Markets (pt)	Business to Business Electronic Markets
422820	Wine and Distilled Alcoholic Beverage Wholesalers	425120	Wholesale Trade Agents and Brokers (pt)	Agents and Brokers
422910	Farm Supplies Wholesalers	424910	Farm Supplies Merchant Wholesalers	Merchant Wholesalers
422910	Farm Supplies Wholesalers	425110	Business to Business Electronic Markets (pt)	Business to Business Electronic Markets
422910	Farm Supplies Wholesalers	425120	Wholesale Trade Agents and Brokers (pt)	Agents and Brokers
422920	Book_ Periodical_ and Newspaper Wholesalers	424920	Book_ Periodical_ and Newspaper Merchant Wholesalers	Merchant Wholesalers
422920	Book_ Periodical_ and Newspaper Wholesalers	425110	Business to Business Electronic Markets (pt)	Business to Business Electronic Markets
422920	Book_ Periodical_ and Newspaper Wholesalers	425120	Wholesale Trade Agents and Brokers (pt)	Agents and Brokers
422930	Flower_ Nursery Stock_ and Florists' Supplies Wholesalers	424930	Flower_ Nursery Stock_ and Florists' Supplies Merchant Wholesalers	Merchant Wholesalers
422930	Flower_ Nursery Stock_ and Florists' Supplies Wholesalers	425110	Business to Business Electronic Markets (pt)	Business to Business Electronic Markets
422930	Flower_ Nursery Stock_ and Florists' Supplies Wholesalers	425120	Wholesale Trade Agents and Brokers (pt)	Agents and Brokers
422940	Tobacco and Tobacco Product Wholesalers	424940	Tobacco and Tobacco Product Merchant Wholesalers	Merchant Wholesalers
422940	Tobacco and Tobacco Product Wholesalers	425110	Business to Business Electronic Markets (pt)	Business to Business Electronic Markets
422940	Tobacco and Tobacco Product Wholesalers	425120	Wholesale Trade Agents and Brokers (pt)	Agents and Brokers
422950	Paint_ Varnish_ and Supplies Wholesalers	424950	Paint_ Varnish_ and Supplies Merchant Wholesalers	Merchant Wholesalers
422950	Paint_ Varnish_ and Supplies Wholesalers	425110	Business to Business Electronic Markets (pt)	Business to Business Electronic Markets
422950	Paint_ Varnish_ and Supplies Wholesalers	425120	Wholesale Trade Agents and Brokers (pt)	Agents and Brokers
422990	Other Miscellaneous Nondurable Goods Wholesalers	424990	Other Miscellaneous Nondurable Goods Merchant Wholesalers	Merchant Wholesalers
422990	Other Miscellaneous Nondurable Goods Wholesalers	425110	Business to Business Electronic Markets (pt)	Business to Business Electronic Markets
422990	Other Miscellaneous Nondurable Goods Wholesalers	425120	Wholesale Trade Agents and Brokers (pt)	Agents and Brokers
452110	Department Stores	452111	Department Stores (except Discount Department Stores)	Department Stores (except Discount Department Stores)
452110	Department Stores	452112	Discount Department Stores	Discount Department Stores
454110	Electronic Shopping and Mail-Order Houses	454111	Electronic Shopping	Electronic Shopping
454110	Electronic Shopping and Mail-Order Houses	454112	Electronic Auctions	Electronic Auctions
454110	Electronic Shopping and Mail-Order Houses	454113	Mail-Order Houses	Mail-Order Houses
511110	Newspaper Publishers	516110	Internet Publishing and Broadcasting (pt.)	Internet Newspaper Publishers
511120	Periodical Publishers	516110	Internet Publishing and Broadcasting (pt.)	Internet Periodical Publishers
511130	Book Publishers	516110	Internet Publishing and Broadcasting (pt.)	Internet Book Publishers
511140	Database and Directory Publishers	516110	Internet Publishing and Broadcasting (pt.)	Internet Database and Directory Publishers
511191	Greeting Card Publishers	516110	Internet Publishing and Broadcasting (pt.)	Internet Greeting Card Publishers
511199	All Other Publishers	511130	Book Publishers	Atlas and Map Publishers (except Internet Publishers)
511199	All Other Publishers	516110	Internet Publishing and Broadcasting (pt.)	All Other Internet Publishers
513111	Radio Networks	515111	Radio Networks 	
513112	Radio Stations	515112	Radio Stations	
513120	Television Broadcasting	515120	Television Broadcasting	
513210	Cable Networks	515210	Cable and Other Subscription Programming	
513220	Cable and Other Program Distribution	517510	Cable and Other Program Distribution	
513310	Wired Telecommunications Carriers	517110	Wired Telecommunications Carriers	
513321	Paging	517211	Paging	
513322	Cellular and Other Wireless Telecommunications	517212	Cellular and Other Wireless Telecommunications	
513330	Telecommunications Resellers	517310	Telecommunications Resellers	
513340	Satellite Telecommunications	517410	Satellite Telecommunications	
513390	Other Telecommunications	517910	Other Telecommunications	
514110	News Syndicates	519110	News Syndicates	
514120	Libraries and Archives	519120	Libraries and Archives	
514191	On-Line Information Services	518111	Internet Service Providers	
514199	All Other Information Services	516110	Internet Publishing and Broadcasting (pt.)	Internet Broadcasting
514199	All Other Information Services	518112	Web Search Portals	Web Search Portals
514199	All Other Information Services	519190	All Other Information Services	All Other Information Services
514210	Data Processing Services	518210	Data Processing_ Hosting_ and Related Services	
561720	Janitorial Services	238990	All Other Specialty Trade Contractors (pt)	Cleaning Buildings During and Immediately After Construction
