CR_TxIn,CR_TxOut,CR_bal,EPAID,MD221_In,MD221_Out,MD221_x,MD222_In,MD222_Out,MD222_x,MD223_In,MD223_Out,MD223_x,Eval,Type,MDnet,CRnet
0,0,0,CAR000030114,0,7036,654,0,0,0,0,0,0,NRC 7k to riverbank. CR 0.,XX+-- ,-6598,0
0,0,0,CAL000827844,913866,952455,46267,0,0,0,0,0,0,Asbury ES; 960k in 967k out all DK; CR no in 426k out to DK,XX+-X+,-7404,-425748
725567,357800,1153821,CAD981426539,8937,860888,1099692,0,0,0,0,0,7648,Butler Oil MD 850k to ISOCI_ Clearwater; CR 786k to same; good agr,XX+XX#,-8494,349993
0,0,0,CAD982446882,2135268,2284605,141293,0,0,0,0,0,0,Ev Fresno - 2.28 in 2.29 out 2.26 Ev; CR 0,XX+-- ,-16454,0
0,0,0,CAD980884183,5306,3490,476,0,0,0,5266,41192,1901,Hauler consolidator 45k to various, non mainline,XX+-- ,-31733,0
0,0,0,CA6170024289,35,3115,9788,0,0,0,41,6643,7118,San Diego NAS 35k net generator to clean harbors; CR 0,XX+-- ,-35023,0
0,0,0,CAL000254138,0,44385,54,0,0,0,0,0,0,generator; 44k to DK; CR 0,XX+-- ,-44385,0
0,80891,0,CAL000827857,0,0,0,0,0,0,0,0,0,JSE; gen; MD 62k mostly ISOCI; CR 81k to ISOCI,-X+XX+,-62417,-80531
0,0,0,CAD982504979,0,75595,512,0,0,0,0,0,0,Adona trkg; generator; 83k to CW alviso; CR 16k to alviso,XX+-X+,-83007,-16250
0,112469,0,CAL000266863,0,0,0,0,0,0,0,0,0,Cal Cool; gen; MD 109k to EES; CR 112k to EES,-X+XX+,-109197,-104539
0,0,0,CAD980673842,0,111191,1555,0,0,0,0,0,0,CR hauler; MD 111k to riverbank; CR 100k to a DBA,XX+-X+,-114627,-135343
0,0,0,CAD048456941,207,75343,284,0,0,0,0,0,0,Generator 130k to DK; CR 0,XX+-- ,-133564,0
0,0,0,AZD981969504,323,177575,10527,0,0,270,0,0,0,221 backflow generator to DK 166 kgal,XX+-- ,-166455,0
947120,0,947120,CAL000102751,403152,2762677,2182035,0,0,0,0,0,0,SJQ filter recyc 2.58 in 2.76 out all DK; CR 0.95 in,XX+X-#,-177673,947120
0,0,0,CAD980814446,0,189538,410,0,0,0,0,0,0,Alarcon's - 175k DK 13k ISOCI; CR very good agr 156k DK 14k ISOCI,XX+-X+,-189128,-171175
0,240185,0,CAL913534912,0,0,0,0,0,0,0,0,0,Sac Waste oil; Gen; MD 271k Ramos; CR 240k Ramos,-X+XX+,-270763,-239996
0,355455,0,CAD982359671,0,0,0,0,0,0,0,0,0,Hauler Generator MD 291k mostly ISOCI; CR 355k to ISOCI,-X+XX+,-291367,-355135
0,323030,91592,CAR000148296,0,333947,454,0,0,0,0,0,0,Starlite. neg in; 335k out ev 152k butler oil 145k; CR good agreement,XX+XX+,-334326,-323030
278222,0,278222,CAD050806850,834483,1429723,254287,0,0,0,22268,25814,388,Clean Harbors LA; 622k to golden eagle 372k to aragonite; CR 278k to nowhere,XX+X-#,-344130,278222
0,0,0,CAL000268462,0,419804,1911,0,0,0,0,0,0,Coles Svcs 1.9k in 420k out DK 1.7k 223 to filter recyc. CR 0,XX+-- ,-421515,0
374942,0,374942,CAL930256136,385260,435676,59841,0,0,0,0,0,0,Asbury Fortuna; 445k in all self txfr; net 435k out industrial oil inc; CR 375k in no out,XX+X-#,-435730,374942
890,637115,890,CAL000264806,0,0,0,0,0,0,0,0,0,Express oil co; MD gen 441k to DK; CR gen 637k to DK,-X+XX+,-441199,-636225
343237,0,835580,CAD088838222,0,1305698,1300744,0,0,0,0,0,312,Bayside oil net gen 560k 1.86 M out; 0.89 DK /asbury 0.4 CW env mgt 0.55 self-txfr; CR 0.84 in incl 0.5 self-txfr no out,XX+XX#,-560163,343237
0,451501,0,CAL000188867,0,0,0,0,0,0,0,0,0,Max Oil Svc generator; 571k out mostly ramos; riverbank; bayside; alviso; CR 451k good agr except riverbank,XX+XX+,-569269,-436996
0,0,0,CAR000148676,0,621349,3447,0,0,0,0,0,0,BMG oil svc generator hauler 620k out to EES; CR 9,XX+-- ,-622433,0
0,0,0,CAD008493322,0,867092,4222,0,0,0,0,0,0,generator 221 to ISOCI_ Butler; MD 0.87 Mgal; CR 0.6 Mgal,XX+-X+,-867365,-598917
0,220900,737293,CAD980813950,0,1031203,1109348,0,0,0,0,0,0,Crane's- 1.1M self- 750k to ISOCI 241k MESE; CR 117k to ISOCI; poor,XX+XX+,-1031203,-222132
1892478,0,3176733,CAD044003556,5860164,6162633,522881,0,0,0,386570,619338,23944,Ramos txfr hub 5.8M 221 plus 0.48M 223 to DK ; 1.3M self; CR 1.9M to nowhere,XX+XX#,-1286703,1836260
116900,68708,238385,CAD982444481,253322,1475271,166252,0,0,55170,226634,1113865,239686,Filter Recyc svc 941k in 223 221; 2.7 Mgal out - East Carbon 1.8; Cu mtn 0.5; Ev 0.17; CR 0.12 in 0.19 out unknown,XX+XX+,-1757760,-73293
6340,374942,2097345,CAD980694103,2351193,2664372,363278,0,0,0,0,0,0,Asbury - MD CR good agreement on 2.4 Mgal to Asbury Chico; also 2.4M to ISOCI and others unreported on CR,XX+XX+,-2397873,-367602
0,0,0,CAR000007013,0,3852126,6851,0,0,0,0,0,0,Clearwater Env Mgt CA generator 3.85 Mgal to Alviso indep; CR 3.1 Mgal to Alviso indep,XX+-X+,-3849238,-3121584
14146779,0,14146779,CAD981696420,6330,14567657,14977320,569,16556,82600,0,4742,144846,EES 15.2 M in 21.9 Mgal out 11.8 ISOCI 7.3 Ev 2.5 DK; CR 14M in to nowhere,XX+X-#,-6712397,14146779

CR_TxIn,CR_TxOut,CR_bal,EPAID,MD221_In,MD221_Out,MD221_x,MD222_In,MD222_Out,MD222_x,MD223_In,MD223_Out,MD223_x,Eval,Type,MDnet,CRnet
TOTAL
91032623,6377660,99146842, ,33164940,69027137,159100675,94228,45695,6694915,747849,2459799,12260757, , ,127472171,133943465

